economy,year,crisis_label,SPE,T2,UCL_SPE,UCL_T2,is_anomaly_SPE,is_anomaly_T2,is_anomaly_combined,combined_score
EGY,2021,0,0.41402253584916476,1.9654678711934765,2.0617676393810833,17.09109025041723,0,0,0,0.2008095034285479
EGY,2022,0,0.4908989946854228,2.668477618908347,2.0617676393810833,17.09109025041723,0,0,0,0.23809617791497809
EGY,2023,1,0.6638010106848042,2.536166349523535,2.0617676393810833,17.09109025041723,0,0,0,0.3219572361141864
EGY,2024,1,1.295916778947847,7.876153122171625,2.0617676393810833,17.09109025041723,0,0,0,0.6285464735186478
ESP,1990,0,1.2165033748996075,4.82283090894895,2.0617676393810833,17.09109025041723,0,0,0,0.5900293280695716
ESP,1991,0,1.0865453777035565,4.8929530368790175,2.0617676393810833,17.09109025041723,0,0,0,0.5269970082708854
ESP,1992,0,1.0521850407282838,7.542317264619174,2.0617676393810833,17.09109025041723,0,0,0,0.5103315333070881
ESP,1993,0,1.4653011706864676,16.10983030231451,2.0617676393810833,17.09109025041723,0,0,0,0.9425864626700005
ESP,1994,0,1.1870723253308155,17.74434380658352,2.0617676393810833,17.09109025041723,0,1,1,1.0382218773989764
ESP,1995,0,1.3115105653845074,14.78396950045616,2.0617676393810833,17.09109025041723,0,0,0,0.8650103231474804
ESP,1996,0,1.0612869604818003,14.003976741832046,2.0617676393810833,17.09109025041723,0,0,0,0.8193729327179803
ESP,1997,0,0.8126388061266459,11.779624632302639,2.0617676393810833,17.09109025041723,0,0,0,0.6892260505157108
ESP,1998,0,0.8117779544085275,8.449171514751885,2.0617676393810833,17.09109025041723,0,0,0,0.4943611783072541
ESP,1999,0,0.7264685333325098,4.563160126456759,2.0617676393810833,17.09109025041723,0,0,0,0.35235228231178684
ESP,2000,0,0.7308295616371971,3.7281051794931126,2.0617676393810833,17.09109025041723,0,0,0,0.3544674713473449
ESP,2001,0,0.42673105948863754,1.3750908536498903,2.0617676393810833,17.09109025041723,0,0,0,0.20697340056066493
ESP,2002,0,0.8950266282203823,1.6344964863621483,2.0617676393810833,17.09109025041723,0,0,0,0.43410644881838284
ESP,2003,0,1.1685135119812555,1.6980307917973754,2.0617676393810833,17.09109025041723,0,0,0,0.5667532507843748
ESP,2004,0,1.1424161390045504,2.432953416940304,2.0617676393810833,17.09109025041723,0,0,0,0.5540954844686036
ESP,2005,0,0.964303233619783,3.1514203291013105,2.0617676393810833,17.09109025041723,0,0,0,0.46770703701085087
ESP,2006,0,0.9948770291097806,4.594996994424006,2.0617676393810833,17.09109025041723,0,0,0,0.4825359609429267
ESP,2007,1,1.0667675957719607,5.167704034194543,2.0617676393810833,17.09109025041723,0,0,0,0.5174043744775192
ESP,2008,1,1.3163930089801126,6.116566225196889,2.0617676393810833,17.09109025041723,0,0,0,0.6384778691042396
ESP,2009,1,1.7588058324468174,14.23525311100304,2.0617676393810833,17.09109025041723,0,0,0,0.8530572499308354
ESP,2010,0,1.170348292774528,11.026292768179465,2.0617676393810833,17.09109025041723,0,0,0,0.6451485895061778
ESP,2011,0,0.9151436568867248,14.284982100250565,2.0617676393810833,17.09109025041723,0,0,0,0.8358145613268783
ESP,2012,1,1.3140601787739827,23.449944540532574,2.0617676393810833,17.09109025041723,0,1,1,1.3720566796468767
ESP,2013,1,1.226467172686027,24.751425751105497,2.0617676393810833,17.09109025041723,0,1,1,1.4482063688418743
ESP,2014,1,0.724711025863726,19.95328318865276,2.0617676393810833,17.09109025041723,0,1,1,1.1674669606384915
ESP,2015,0,0.5060596345648258,16.1517568149961,2.0617676393810833,17.09109025041723,0,0,0,0.945039583686114
ESP,2016,0,0.4469259120425543,11.556255787528979,2.0617676393810833,17.09109025041723,0,0,0,0.6761567353637293
ESP,2017,0,0.265084790387519,8.039614163120092,2.0617676393810833,17.09109025041723,0,0,0,0.47039797024790897
ESP,2018,0,0.3271122777400185,5.276967284820581,2.0617676393810833,17.09109025041723,0,0,0,0.30875545137863625
ESP,2019,0,0.26397242728936277,4.460816116029297,2.0617676393810833,17.09109025041723,0,0,0,0.2610024317155776
ESP,2020,1,1.9061992297989903,33.3829324740179,2.0617676393810833,17.09109025041723,0,1,1,1.9532359834799273
ESP,2021,0,0.13771133073408676,7.767873519320308,2.0617676393810833,17.09109025041723,0,0,0,0.4544984202590983
ESP,2022,1,0.0813499347837059,5.588616020341134,2.0617676393810833,17.09109025041723,0,0,0,0.3269900245365976
ESP,2023,0,0.13006685408176222,3.0335385267393473,2.0617676393810833,17.09109025041723,0,0,0,0.17749239412420117
ESP,2024,0,0.07281656092637434,2.82058028926351,2.0617676393810833,17.09109025041723,0,0,0,0.16503220379370787
FRA,1990,0,0.22308003086527556,0.7027637601912905,2.0617676393810833,17.09109025041723,0,0,0,0.10819843449101829
FRA,1991,0,0.2469267651652628,1.3119035148351557,2.0617676393810833,17.09109025041723,0,0,0,0.11976459444255663
FRA,1992,0,0.14542468646939982,1.627086567202639,2.0617676393810833,17.09109025041723,0,0,0,0.09520086450675189
FRA,1993,0,0.09861803990359694,3.8979262790874816,2.0617676393810833,17.09109025041723,0,0,0,0.2280677371645337
FRA,1994,1,0.07635122333120155,2.8124122104254696,2.0617676393810833,17.09109025041723,0,0,0,0.1645542893530044
FRA,1995,0,0.07690399251541305,2.3225846185896755,2.0617676393810833,17.09109025041723,0,0,0,0.1358944680859652
FRA,1996,1,0.08057594024823526,3.1435503838350165,2.0617676393810833,17.09109025041723,0,0,0,0.18392918987472293
FRA,1997,1,0.05904213971598106,3.4538082490259123,2.0617676393810833,17.09109025041723,0,0,0,0.2020823831845132
FRA,1998,1,0.07533314337643489,2.8777406616536947,2.0617676393810833,17.09109025041723,0,0,0,0.16837665821719258
FRA,1999,1,0.1394784725576088,2.888651908867373,2.0617676393810833,17.09109025041723,0,0,0,0.16901507548922193
FRA,2000,0,0.060121856070988695,1.2880594907539973,2.0617676393810833,17.09109025041723,0,0,0,0.07536438412538093
FRA,2001,0,0.0875324888081344,0.9843598071890948,2.0617676393810833,17.09109025041723,0,0,0,0.057594910141268746
FRA,2002,0,0.05442075446347908,1.472961792310869,2.0617676393810833,17.09109025041723,0,0,0,0.08618302113728005
FRA,2003,0,0.03429122228900405,1.4378861897680548,2.0617676393810833,17.09109025041723,0,0,0,0.08413074699742767
FRA,2004,0,0.03027609176074583,0.9077053671063777,2.0617676393810833,17.09109025041723,0,0,0,0.053109857464137995
FRA,2005,0,0.09401657480993224,1.0671980709281614,2.0617676393810833,17.09109025041723,0,0,0,0.06244177845249567
FRA,2006,0,0.09881755247180575,0.9861942701062896,2.0617676393810833,17.09109025041723,0,0,0,0.057702244599768256
FRA,2007,0,0.12357482453985526,0.9333467060503355,2.0617676393810833,17.09109025041723,0,0,0,0.059936348878261984
FRA,2008,0,0.1905578981170527,2.0085577357197346,2.0617676393810833,17.09109025041723,0,0,0,0.11752074948353287
FRA,2009,1,0.1238959573457007,6.257791061639738,2.0617676393810833,17.09109025041723,0,0,0,0.3661434683189372
FRA,2010,0,0.03662696461304426,1.8351015216122863,2.0617676393810833,17.09109025041723,0,0,0,0.10737182325554026
FRA,2011,0,0.051270126656101166,1.8521907319172208,2.0617676393810833,17.09109025041723,0,0,0,0.10837171325989603
FRA,2012,0,0.05668598285372086,3.0686846915423036,2.0617676393810833,17.09109025041723,0,0,0,0.17954879686317204
FRA,2013,0,0.052335249369795986,2.536913879235493,2.0617676393810833,17.09109025041723,0,0,0,0.14843487700695754
