economy,year,crisis_label,is_anomaly_combined,GDP_Growth,GDP_PerCapita_Growth,Inflation_CPI,Total_Reserves,Unemployment,Current_Account_GDP,Trade_GDP,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Exchange_Rate,Manufacturing_Value,Investment_GDP
PHL,2011,0,0,0.011003489592388036,0.01937648345343599,0.00019884316163415707,0.0019225513294954355,0.003838849973751914,0.3054465216038865,0.0002315346907478919,0.0006763745774343067,0.01934424798292071,0.01711375905393975,0.6872929278996379,0.00016267469391030364,0.004663273637312478,0.21083198118211557
PHL,2012,0,0,0.017116185577274016,0.008872585511572302,3.91546352114712e-05,0.03264415834317707,0.002523787828920751,0.27201154201189176,0.0007328475386912486,0.0010870736237736708,0.010478282640904597,0.032215699798816416,0.38675019569338065,0.005086297587894159,0.0002316811766894992,0.39921466941358064
PHL,2013,0,0,0.006967774760748652,0.00708232468024855,9.887091345572665e-05,0.0026328056422849845,6.510969190140575e-05,0.21109566511153183,4.5652987471897657e-08,1.8295416208416162e-06,0.022311022734739044,0.03124963384325971,0.4087275628367194,0.0011757537849427454,0.0016032973429697904,0.22072852518821326
PHL,2014,0,0,0.0012648427670489688,0.0029686833278685736,0.00022980306885524436,0.0001502610260320812,0.0012546207984485075,0.2563103186683493,8.962011092873043e-05,0.000154363671047038,0.02159076944097937,0.0233702965323048,0.5662415147557857,0.00043042316586262787,0.004179671088831137,0.21036071108843668
PHL,2015,0,0,0.00021890191699285895,0.00022159259316052217,0.0001874321703634742,0.0016163787993154482,2.4129316560616264e-05,0.2196019896346915,9.337815283796857e-08,1.0764802112458922e-05,0.022238340051472797,0.03077330594390641,0.44524382079317454,0.0011264595600478592,0.0026895455190603964,0.2280222767973686
PHL,2016,0,0,0.00013026814070628932,0.0006470018561369239,0.0002725950276842319,0.006842054876266407,0.003960330851619115,0.1733523338448747,0.000672543432294242,0.0007893572570718534,0.0362740946906241,0.02854781169832057,0.4765517610488281,3.111461511321441e-06,0.005467622309258824,0.10649378000996082
PHL,2017,0,0,0.0008687013142334957,0.0005361740219147779,0.00033900950898698215,0.01848626449185973,0.00769045814255216,0.16416813448880616,0.0013665607887905866,0.0017083954035329765,0.044394299983259014,0.028582938368744877,0.5151600263556034,0.00026635566556096395,0.007365309316950363,0.07420957572009562
PHL,2018,0,0,0.0012793834866437835,0.0008361470060493381,0.000325927605683091,0.03182405222294386,0.011425941273751907,0.12025291953161,0.002214737421627479,0.00273096633829937,0.05462611702680614,0.030443723738242803,0.4503118898402016,0.0009399453539824178,0.00776698805554595,0.03431199427056913
PHL,2019,0,0,0.001481077941886045,2.174276961026505e-05,0.0001388147591306621,0.008384230059284454,0.0033322492306198832,0.04327853111100828,0.0011125458712439422,0.000785051173567139,0.056544438547322606,0.043659182530704874,0.17587520469992973,0.00020001264303654112,0.0028518011095895256,0.02066803362915945
PHL,2020,1,1,0.0009602119039391823,0.00038803900271674915,5.244841035323424e-05,0.0006579978374674961,0.0004665416570527974,0.01670041993329475,0.00038869026189124927,9.804986140737046e-05,0.04523468875592646,0.04261950517794427,0.06606627552311048,1.6622698037269095e-07,0.0008276834153636517,0.016886974724026716
