GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation,economy,year,is_anomaly_combined
0.004299711182482293,0.005925137242093636,0.006630583927099295,0.0022435714986450447,0.008991754368638095,0.0004928861632831804,0.0019006937290551155,0.0006004021475534793,0.05672914151699824,0.000821809072747295,0.008456693410302502,0.006877841079363893,0.005414937546850288,0.00013133984618280835,CZE,1992,0
0.009877087832960011,0.0027719840446168787,0.017978151712703918,0.0007403220273394005,0.025737762200930436,0.0013294634468649555,0.004220289168068537,0.0024999984324277605,0.06044419045711434,0.022522341067461628,0.021630443208002118,0.01989382931791592,0.0017071276672706484,0.0009294661070379512,CZE,1993,0
0.00683879366544767,0.0028278295800780264,0.012160978394053319,0.00032760278684623614,0.017444114498816565,0.0008953948651353276,0.0023141135428628645,0.0021210896074616834,0.04293251753495459,0.0145273910849667,0.014695135137159381,0.013541270427530097,0.001981737335388789,0.0005463790244048971,CZE,1994,0
0.003907463302980875,0.0034232967993128426,0.007166483325015511,0.01097480455594302,0.011029500879684146,0.0005125422483792222,0.0038257047023227205,0.00023588990646433426,0.001548721258286148,0.031532995474420636,0.007707647735381871,0.009053086162137932,0.0028160518090463863,0.00016720449584102282,CZE,1995,0
0.010674192351442915,0.0002157478377024941,0.021321957808064698,0.008573259758363849,0.03157502882023622,0.001566720642004276,0.003174460981802128,0.004893156356094787,0.03178244619686643,0.051558984037747654,0.024905787389562145,0.02459886416236943,1.1914954859160574e-06,0.001591209908769122,CZE,1996,0
0.011092668540173363,0.0006696530353717379,0.021543650950940095,0.004757742390147643,0.03149827909530306,0.001588144068967735,0.00362679061953825,0.004375909994067569,0.04537816598002821,0.041667447723139656,0.025481409423475584,0.024426206740150943,0.00011965507474134539,0.001481967905466566,CZE,1997,0
0.02300972495371971,0.0016064509366846573,0.04442535227530489,0.008481620342176963,0.06489172605720966,0.0032734763044702723,0.006710246641645438,0.009812203895587443,0.09898718359091048,0.0825142691646442,0.05274497770705467,0.0503048184517505,0.0003538318209294865,0.003013633566146112,CZE,1998,0
0.021213785753352494,0.0008719478167193933,0.041535438862599125,0.009503647242100278,0.060671468083218945,0.003066694621357671,0.007485644025216507,0.007944909281584957,0.08637451487458006,0.08086894502475674,0.04908128200438406,0.04697021625053948,6.982030818810064e-05,0.0029786003056665486,CZE,1999,0
0.016763502053125687,0.0014097539814330827,0.03226533499570611,0.006339516597568382,0.04707459706960673,0.002378675153975478,0.005744345684186899,0.006218996561633616,0.07167375179046313,0.059947953630704154,0.038213770479255636,0.03651216447387799,0.00038908119721907646,0.002126849969638662,CZE,2000,0
0.02011838171664008,0.0028347045820357247,0.037948157985482206,0.005822129763272938,0.05554886147497043,0.0027837193217635256,0.004058408402663058,0.010537547562127306,0.09050442866283614,0.06739329093627604,0.04531159527954911,0.04323008530427594,0.0011995798595643915,0.0023037259269312166,CZE,2001,0
