economy,year,anomaly_score,anomaly_score_negated,predicted_anomaly,crisis_label
GRC,2018,-0.01160870603593217,0.01160870603593217,1,0
GRC,2019,-0.005745040278844482,0.005745040278844482,1,0
GRC,2020,-0.08564848923128565,0.08564848923128565,1,1
GRC,2021,-0.01990680860428945,0.01990680860428945,1,0
GRC,2022,-0.029768357159843717,0.029768357159843717,1,0
GRC,2023,0.019516521725945257,-0.019516521725945257,0,0
GRC,2024,0.03239744948840578,-0.03239744948840578,0,0
HUN,1990,0.0572319648920348,-0.0572319648920348,0,1
HUN,1991,-0.029611249070501333,0.029611249070501333,1,1
HUN,1992,0.041371095209249975,-0.041371095209249975,0,1
HUN,1993,0.023262379254381738,-0.023262379254381738,0,1
HUN,1994,0.06113295806587804,-0.06113295806587804,0,0
HUN,1995,0.053986821835684484,-0.053986821835684484,0,0
HUN,1996,0.05619127422805148,-0.05619127422805148,0,0
HUN,1997,0.049392692226593815,-0.049392692226593815,0,0
HUN,1998,0.035830333720773266,-0.035830333720773266,0,0
HUN,1999,0.03972023168461686,-0.03972023168461686,0,0
HUN,2000,0.021154146139513108,-0.021154146139513108,0,0
HUN,2001,0.036759728545591674,-0.036759728545591674,0,0
HUN,2002,0.04478976592904077,-0.04478976592904077,0,0
HUN,2003,0.03807523971457005,-0.03807523971457005,0,0
HUN,2004,0.02913705650771431,-0.02913705650771431,0,0
HUN,2005,-0.0053559985991430414,0.0053559985991430414,1,0
HUN,2006,0.0002522901009326395,-0.0002522901009326395,0,0
HUN,2007,-0.0628445756237258,0.0628445756237258,1,0
HUN,2008,-0.05478431957316143,0.05478431957316143,1,0
HUN,2009,-0.034200793663214046,0.034200793663214046,1,1
HUN,2010,-0.013731231761148321,0.013731231761148321,1,0
HUN,2011,0.007513320920299271,-0.007513320920299271,0,0
HUN,2012,-0.01993838054413344,0.01993838054413344,1,0
HUN,2013,0.013005722643273154,-0.013005722643273154,0,0
HUN,2014,0.016539490025284598,-0.016539490025284598,0,0
HUN,2015,0.008492308073940857,-0.008492308073940857,0,0
HUN,2016,-0.04113167881428548,0.04113167881428548,1,0
HUN,2017,0.008927105679999547,-0.008927105679999547,0,0
HUN,2018,-0.011683460225226039,0.011683460225226039,1,0
HUN,2019,-0.03768059326294376,0.03768059326294376,1,0
HUN,2020,-0.06913025842503973,0.06913025842503973,1,1
HUN,2021,-0.025093494753120338,0.025093494753120338,1,0
HUN,2022,-0.058724271115175086,0.058724271115175086,1,0
HUN,2023,-0.03004885367021559,0.03004885367021559,1,0
HUN,2024,0.01405095291212688,-0.01405095291212688,0,0
IDN,1990,0.04631464582708583,-0.04631464582708583,0,0
IDN,1991,0.04859431263904074,-0.04859431263904074,0,0
IDN,1992,0.05693746616745049,-0.05693746616745049,0,0
IDN,1993,0.06189939405791245,-0.06189939405791245,0,0
IDN,1994,0.055788054233637085,-0.055788054233637085,0,0
IDN,1995,0.05144379615732264,-0.05144379615732264,0,0
IDN,1996,0.04844036352182951,-0.04844036352182951,0,0
IDN,1997,0.04758151895267021,-0.04758151895267021,0,0
IDN,1998,-0.10539486779052987,0.10539486779052987,1,1
IDN,1999,-0.01579431452524921,0.01579431452524921,1,0
IDN,2000,0.016230569719346943,-0.016230569719346943,0,0
IDN,2001,-0.028068757931318467,0.028068757931318467,1,0
IDN,2002,-0.02194419633357908,0.02194419633357908,1,0
IDN,2003,0.0005531220554204075,-0.0005531220554204075,0,0
IDN,2004,-0.00010798703506620377,0.00010798703506620377,1,0
IDN,2005,0.006934975673440924,-0.006934975673440924,0,1
IDN,2006,0.008613142521950667,-0.008613142521950667,0,1
IDN,2007,0.007780343765514286,-0.007780343765514286,0,1
IDN,2008,0.0007620203503788114,-0.0007620203503788114,0,0
IDN,2009,0.006640627735022109,-0.006640627735022109,0,0
IDN,2010,0.0175595520452278,-0.0175595520452278,0,0
IDN,2011,0.02246759405206389,-0.02246759405206389,0,0
IDN,2012,0.013966059707214207,-0.013966059707214207,0,0
IDN,2013,0.01495871507128238,-0.01495871507128238,0,0
IDN,2014,0.0040608067047325225,-0.0040608067047325225,0,0
IDN,2015,-0.003798197463850961,0.003798197463850961,1,0
IDN,2016,-0.004771670690855101,0.004771670690855101,1,0
IDN,2017,-0.005830274235180677,0.005830274235180677,1,0
IDN,2018,-0.012035845857367888,0.012035845857367888,1,0
IDN,2019,-0.015188983711551252,0.015188983711551252,1,0
IDN,2020,-0.042912004600328735,0.042912004600328735,1,1
IDN,2021,-0.003347215158892025,0.003347215158892025,1,0
IDN,2022,-0.010202050212936853,0.010202050212936853,1,0
IDN,2023,-0.014496110981602195,0.014496110981602195,1,0
IDN,2024,-0.019915255064211157,0.019915255064211157,1,0
IND,1990,0.04756400806786071,-0.04756400806786071,0,0
IND,1991,0.04644151038654715,-0.04644151038654715,0,1
