economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,Exchange_Rate,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth
ARG,2003,8.83704079576924,,15.36,6.37990680177011,5.70013745215418,2.90062916666667,1.29481086883944,25.9309429264224,14.7138051046861,21.7345330075457,14.1469621012504,22.4867505875749,10.7627059172487,29.6348527788152
ARG,2004,9.02957330068152,,13.522,1.95058324319273,5.77837779911896,2.92330081890332,2.5050175164097,23.8476194239892,16.8450266849578,13.7828348747865,17.5512703642799,18.9370136214371,9.68251819633223,21.4273104900815
ARG,2005,8.85165992013437,,11.506,2.65363142179073,7.26029776298213,2.9036575,2.64935441452167,23.2458767338576,17.3053942367662,13.7086097328953,18.8882641376513,18.340415936715,10.6534929189359,21.513918560906
ARG,2006,8.04715150043027,,10.078,2.79449564264943,7.02897239370493,3.05431333333333,2.38106854489628,23.0266946038115,17.4067852681036,21.4172295393985,18.6804872364334,17.8777938558849,11.9102616607561,20.2627350951633
ARG,2007,9.00765087504757,,8.47,2.1036160391819,8.17153428618646,3.09564884920635,2.25129423568361,22.6627503115066,18.2824203070644,22.2314441717013,20.099113202908,17.0474154518997,13.0985413493544,24.4656256111237
ARG,2008,4.05723310346406,,7.837,1.49940141614234,6.71425831138327,3.14416455988456,2.68990096507093,22.0609003826242,18.341772996414,21.1268023980529,19.5727758777106,16.5383660984547,12.313946714342,8.06469999443141
ARG,2009,-5.91852507634947,,8.645,2.1785669619099,9.06749992875243,3.71010683052328,1.20643922647566,19.5609850560818,14.4961418494061,18.3213663046327,16.0531123592112,15.5837772738051,12.4162075416805,16.9999162699207
ARG,2010,10.1253981561002,,7.714,-0.383118699737133,7.27697103967374,3.8962951544705,2.67516171886535,18.9338234053709,16.0371898581987,17.3318557921569,17.7055338062046,15.8448608064195,12.6901062454749,33.7780442392202
ARG,2011,6.00395169280579,,7.18,-1.00728084144866,5.20195157798821,4.11013957621326,2.04465997872008,18.4492091453155,16.7569458546489,17.3332165460366,18.39845891735,15.8506983942663,14.0087151168124,25.7005383846759
ARG,2012,-1.0264204544321,,7.217,-0.39159512386959,5.21829041219894,4.53693436018746,2.80667189982932,16.2378594620246,14.2886829096862,16.2099451316674,16.5019865298875,15.2168009115954,15.2128150156924,34.9018334185138
ARG,2013,2.40532378079436,,7.1,-2.37749566620574,3.46015205462158,5.45935266465704,1.77920553648531,14.6171733884386,14.7167556136651,15.1944663729121,17.3057789012596,15.0110542553443,15.7290920133564,27.0263720438839
ARG,2014,-2.51261532081394,,7.268,-1.74400211981355,3.96299919336678,8.07527599281334,0.962406650325519,14.4054785893756,14.0013150558519,15.909027608976,17.2628810064651,14.7727785491821,13.8237692455151,29.8462271877007
ARG,2015,2.73115982828944,,7.577,-2.96292666513534,3.36214425707702,9.23318552472429,1.97713461784426,10.7056520504538,11.7805740385254,14.3058273001867,17.0707048841583,14.1815854549835,14.4142330417064,39.4502278963513
ARG,2016,-2.08032784377811,,8.088,-2.70922168361454,5.09719624487539,14.7581750873396,0.584748941173009,12.5270951690009,13.5667926798789,14.6222549674317,17.6632278606203,13.4880259708051,13.6676334273514,41.5840608913242
ARG,2017,2.81850297775918,,8.347,-4.83995921807391,6.05038766582561,16.5627069251411,1.78936504083806,11.3202833596733,13.9693177780045,13.0688485783361,18.2125671747754,12.8351683415363,15.9584973420583,30.1194291866375
ARG,2018,-2.61739646282038,34.2772237131003,9.22,-5.16055257152295,7.11111211150086,28.0949916666667,2.23253157689253,14.4366857499034,16.3258502050892,11.3939154141372,16.6138850156371,14.0601434041581,,47.6138064217584
ARG,2019,-2.00086100285785,53.5483043492339,9.843,-0.779998447561848,5.94220121846315,48.1478916666667,1.48500687570697,17.9248783778462,14.7057366680037,13.6907954449568,14.2100303992191,13.5408390702829,14.4776292447323,25.8841473655566
ARG,2020,-9.9004848136464,42.0150947376509,11.461,0.696935361136031,7.09405401009515,70.5391666666667,1.26616924308721,16.6054144372484,13.5982843701675,15.0121353189386,14.4151557410245,14.5905295089183,15.746489768328,66.3310972790224
ARG,2021,10.4418119882506,48.4093786255199,8.736,1.36154422203441,5.6049034262494,94.9907416666667,1.36838083162438,18.0667091690365,15.0119803984295,19.4128951075758,18.0762892471421,15.558416982668,13.2644289814535,51.2817217703227
ARG,2022,6.02074537534855,72.430757531824,6.805,-0.62525456692328,4.75930856415363,130.61655,2.3984601182853,16.2816677253254,15.2985115353002,16.8387414427395,17.3855861358427,16.4165686180445,12.8891009335255,87.6857878752439
ARG,2023,-1.85578803046339,133.488935594175,6.139,-3.1951463789585,2.45755251575411,296.258041666667,3.81190879856952,12.8223120961047,13.8546391521167,16.2338769646531,19.3822632919135,16.5255500222842,15.3570823376105,158.54905478138
ARG,2024,-1.34293072157739,219.883929014578,7.15,0.893118418089375,3.55326074207238,914.694883333333,1.82409522925391,15.2497485928824,12.6800122564846,16.6971165360377,15.8378002382311,15.1850458096465,15.1176778381075,123.094878599647
AUS,1990,3.57297569098456,7.33302368375269,,-4.98086922325911,3.2911342342281,1.28105666666667,2.7122110003886,15.0947214126902,17.0153069408081,24.4154383916175,28.9035413494686,13.6970346040998,60.4753714456336,12.7576788291074
AUS,1991,-0.384631357046658,3.17666872277308,9.586,-3.24314665991037,3.38935828462702,1.28375583333333,0.800225253247321,16.0067228668844,16.1389681024492,20.8078722173929,24.1869322471591,12.4863546961485,60.0333741289848,1.18217235311593
AUS,1992,0.433065864126704,1.01222824105977,10.733,-3.1637556587871,2.410046612253,1.36164833333333,1.51600150077427,16.6348569743439,16.3633146564435,18.3164839064147,22.3143615452669,12.4935417281038,61.7733091123562,7.37903595879862
AUS,1993,4.04583374101011,1.75365751770527,10.879,-2.97199182738191,2.46473700610061,1.47056,1.69960473993569,17.5151962018487,17.835080746682,20.3034156711219,23.5691741898356,12.7839172031795,63.192071898716,5.7265822621442
AUS,1994,3.97884434177331,1.96963507094102,9.724,-4.90706698315176,2.06752690755426,1.36775083333333,1.37918511879287,17.946396853319,18.4602149433109,21.8463364095375,24.2365489229294,13.1028962990545,66.6734239844549,9.95925575062761
AUS,1995,3.89017188961647,4.62776445368168,8.473,-5.06318585541186,1.88653543285781,1.3490325,3.59858176504927,17.8435719765847,19.8033020606163,20.6053570826636,25.9545428001265,13.0237878046472,69.6679496736804,8.51837171513711
AUS,1996,3.86567479160071,2.61537902431631,8.509,-3.58360337747536,2.04645702693278,1.27786333333333,1.13541742026476,18.8609762036441,19.3130446764454,20.8678175180598,24.7503241868902,12.6558409322992,71.3863767702869,10.6489522221685
AUS,1997,3.91795814771731,0.224895027032537,8.367,-2.72974894003096,2.01592657347321,1.34738,1.85369309475488,19.0977036336863,18.82399786201,21.7802042626413,24.8171857091867,12.1885161954539,75.201469832279,7.31058037661402
AUS,1998,4.67681373479508,0.860129922016289,7.684,-4.44111787888726,1.88090639363923,1.59182833333333,1.89768756641747,19.5240007251128,20.400065734524,21.5910821015266,25.6000393051793,12.3477559622738,78.974896120816,8.43035778989644
AUS,1999,5.02822035850596,1.48313946657267,6.876,-5.58366414929507,2.5041341473426,1.54995,0.566396956795571,18.2621440737691,20.6981026364668,20.5938348860108,26.0993037595699,11.8476458340357,83.9046994061809,11.7042580988803
AUS,2000,3.9160574881715,4.45743705920869,6.288,-3.7148479251727,2.06379898799533,1.72482666666667,3.57229745403377,19.356082688226,21.5070430809694,21.1585828443316,26.2042380502619,11.4248399094364,87.3810328646984,3.73990957467648
AUS,2001,2.03145880248898,4.40712998561533,6.747,-2.09983536268172,2.26211190061693,1.9334425,2.81762721403267,22.1097572675813,22.0239741296115,20.707708507732,23.3481102313323,10.8051481170037,88.1892830335626,10.9305763560607
AUS,2002,3.94980535772942,2.98157117047457,6.375,-4.03651427027564,2.337860991248,1.8405625,3.69701188608667,20.6927681028396,20.6885447118526,21.7443643675091,24.3675142044517,10.4098668971934,91.0685401335001,7.03591711741804
AUS,2003,3.0912800997751,2.73259754838937,5.933,-6.25542304141099,2.93863794104373,1.54191416666667,1.9178050221833,19.0255629975486,21.1092381818995,21.0479265435955,25.8939093336516,10.7213180780763,98.9700701383552,12.7634349487304
AUS,2004,4.21894147547516,2.34325687131265,5.399,-6.70631316237641,2.56446102441055,1.3597525,6.96956991636737,17.1350628732794,19.8154530885495,21.4867186852419,27.0204316493562,10.760614740413,102.447693760099,11.418295397068
AUS,2005,3.15548121323168,2.69182949622197,5.036,-6.22018206583351,2.59298920284395,1.30947333333333,-3.60113772652235,18.1951172148922,20.9027650415889,20.9463328004775,27.4127496143182,10.1686211472279,108.259010705054,8.50085420965673
AUS,2006,2.7709261737475,3.55528696972984,4.785,-6.17432428646521,2.85248884994684,1.3279734405,4.0750646338694,19.8193564623907,21.6685358865245,21.6197924820935,27.4574581872329,9.67044139221759,113.405916759874,15.0631947019509
AUS,2007,3.78947119882653,2.32761442623159,4.381,-7.5509404049246,1.11922244758873,1.1950725,5.18803286061474,20.1458953527592,21.783849774897,21.3208215222712,27.4507449663445,9.10310744819698,120.28724964726,18.2329858002763
AUS,2008,3.62398503565633,4.35029726664093,4.242,-4.87128797048566,1.18557465037047,1.19217833333333,4.26757732505596,20.1044121403643,22.6478086476665,21.845024795339,28.5401924147253,9.00690047181701,121.444819283971,17.004743830431
AUS,2009,1.95484826298522,1.77112025681656,5.565,-5.21460357172589,1.80269721013609,1.28218881008452,3.10519028312049,22.9369071089635,22.6567049778154,23.9195578923009,27.2762472195114,8.33320821957859,122.113074120131,3.20752158177851
AUS,2010,2.21004795300735,2.9183370211222,5.214,-3.99211276270473,1.4494932951904,1.09015948638677,3.08482804330762,19.7322237124156,20.658283373645,21.7091351421171,26.697693257066,7.8761687510269,124.791339290254,10.1307768042715
AUS,2011,2.39473494330615,3.30384784681081,5.083,-3.25393708127954,1.3329222997953,0.969463201496735,4.67434620832808,21.3710952598475,20.3508907551214,23.1621677041742,26.3824449207632,7.25000878456727,121.790806241677,7.96777768795711
AUS,2012,3.95247138119184,1.76278299052228,5.225,-4.42917293903347,1.36947135285815,0.965801030658708,3.70774989384992,21.4212330245448,21.598616528211,24.200411352821,27.6233466177263,6.9087255284149,120.774756172135,7.34791675210082
AUS,2013,2.65445302592404,2.44988248109259,5.663,-3.24439256531685,1.55435208477367,1.03584309652054,3.43950309398958,19.8931411047873,21.2073707762687,23.7827985137743,27.7570773936691,6.47475769538219,124.183275636084,6.74713199161139
AUS,2014,2.60118978187332,2.48792932080492,6.078,-3.07921525285017,1.66103068226082,1.10936329281692,4.28599049307814,20.9959179912807,21.3033915472475,23.4563274824008,26.6111234581966,6.23700054223419,127.883848731619,7.03289769991059
AUS,2015,2.16434780647852,1.50836803138463,6.055,-4.2950643949091,1.60125212905097,1.33109026245502,3.456117831131,19.9846454503255,21.5101052436646,22.521231196962,26.1669365772477,6.16187153809786,135.800292705604,5.984082434644
AUS,2016,2.75564065529868,1.27699365720306,5.711,-3.60213104879027,1.88832548352904,1.34521397601947,3.54660341826144,19.2031438783351,21.6102583389859,20.529640955705,25.3483902403269,5.93628731808457,142.104255731186,6.66618812734301
AUS,2017,2.29331030192918,1.94864309065653,5.592,-3.00525814878872,2.08176490163879,1.30475807671592,3.62158795648508,21.1718412211076,20.8635723040778,21.5782074482669,24.0798824498086,5.6370711506194,140.108067004121,4.52198765643149
AUS,2018,2.87417039499501,1.91140002818579,5.345,-2.58947975974169,1.57003412299637,1.33841214646451,4.23450805251819,21.8125736575066,21.7606517070152,21.4012664353392,24.5546475824653,5.58025754369151,139.498062822532,2.37382234106626
AUS,2019,2.19401703622717,1.610770929127,5.143,-0.0757460083721145,1.78228736371468,1.43850654421382,2.77077560426989,24.0624800210722,21.939202684145,21.9808894845608,23.2971815966264,5.45170917330074,135.666714386567,14.0595331869537
AUS,2020,-0.133531904304775,0.846900734607273,6.394,1.64272242623869,1.5961397996989,1.45308511847016,1.34826011276187,23.9380373915413,20.5615267123377,23.2325990455773,22.3449300806534,5.50480994024151,141.704749324425,13.6682325160868
AUS,2021,2.00694844335034,2.86391284709318,5.022,2.44729769999574,1.73481181496435,1.33122425957081,2.01542405903096,22.0018144228925,18.200421516167,25.1958520075371,22.8801883097412,5.43021286709902,138.339567139855,6.69981105259195
AUS,2022,4.25304559238732,6.59409658717841,3.728,0.254202501603949,1.30088944606724,1.44166445896522,4.05215286724898,25.4615298373659,20.2331120432093,24.9259369836481,23.6997957124432,5.28875408553718,133.643883130746,7.84101706545875
AUS,2023,3.58382100798981,5.59701792296707,3.668,-0.433071259302467,1.42689960362476,1.50519106560509,2.03614704389564,26.701068252275,22.3432710661529,23.7753856393832,23.873104248989,5.26935642156248,126.962120898014,3.93320686972139
AUS,2024,1.37340773365975,3.16656665428797,3.942,-2.3075014713626,1.35214316804638,1.51535803855596,3.05761029844929,24.6215240529473,22.5238570535723,22.9191602790214,24.323541758006,5.37633044467869,129.317349651589,6.57405461426854
AUT,1990,4.34564183768971,3.26187231878573,,,,11.3698333333333,0.393820997085781,35.8377852549483,35.9316966914597,,27.0291365800716,20.2329565336564,,
AUT,1991,3.44162748808654,3.33742703474792,3.42,,,11.6759166666667,0.207956112477992,34.7265065316097,35.5973501546722,,27.2400245299165,19.8099526491026,,
AUT,1992,2.0935244262602,4.02084780038554,3.59,,,10.9893333333333,0.764493296897433,33.2856424443417,34.610466380459,,26.5363693813937,19.0948095319948,,
AUT,1993,0.526809769496765,3.6317852494318,4.25,,,11.6321825,0.593303914874108,31.5876218892673,31.926205154168,,25.5676488572243,18.0414453375157,,
AUT,1994,2.40211843259056,2.95340936761081,3.535,,,11.4218249166667,1.02389456006068,32.2849892247045,33.9615846861405,,26.4142187207699,17.9343068043783,,
AUT,1995,2.66798388882503,2.24336631500898,4.345,,,10.0814958333333,0.760156006172297,33.6650009227647,34.8600048302325,,27.1040016269491,18.5019539726343,,
AUT,1996,2.21576713087359,1.86097115760437,5.282,,,10.5865575,1.83236524365315,34.4377355805807,36.0315807177005,,26.4922454602716,18.2116167596248,,
AUT,1997,2.1458350552646,1.30597857227691,5.15,,,12.2042441666667,1.26058669809025,37.2144335874111,38.0300424431444,,26.3834218161954,18.3089191738941,,
AUT,1998,3.49288002962309,0.922467196680849,5.483,,,12.379065,2.1061851136777,38.5615906228388,38.787931037573,,26.2499845729946,18.2424459523507,,
AUT,1999,3.76192435190464,0.568993765885531,4.699,,,0.938283072395283,1.37439937408037,39.5093125883092,39.0536203889869,,26.2733169274141,18.4112420796266,,
AUT,2000,3.18952292988787,2.34486285357281,4.687,,,1.08270508132602,4.33323688730786,43.591091462861,42.2515162707939,,25.9400787116929,18.726691043317,,
AUT,2001,1.31698749571339,2.65000077279529,4.007,,,1.11653308564462,2.89572243102078,44.8518101806208,43.1444465379839,,25.4261245518381,18.8665063718647,90.1843849056655,
AUT,2002,1.48436877605324,1.81035787764129,4.852,,,1.05755899623965,0.0650010498093938,45.6510533943756,41.9334403110863,,23.7779667439374,18.2889236424197,89.1693676249095,
AUT,2003,1.14156504542775,1.35555370896445,4.779,,,0.88404792718493,2.37557550248335,44.8257225915126,42.0565037313482,,24.4562050749722,17.9613432652269,88.3093375766464,
AUT,2004,2.56525534067859,2.0612061803287,5.969,,,0.803921647747618,1.0640170021225,47.2191991038628,44.2550210841381,,24.2036725711211,17.8020784726469,88.4249908125088,
AUT,2005,2.32036514266782,2.29913785639286,5.682,1.98531598038444,0.802664363889095,0.803800192161442,25.8307026071969,48.9511516701756,45.7236031126049,26.2027327311514,23.9653234755669,17.8503433495394,94.9670359723065,
AUT,2006,3.26933601506059,1.44154851119017,5.32,3.29250867823429,0.790999882228491,0.796432730949102,3.14473468828869,51.2031559330564,47.5825693830677,26.8986570432199,23.8292704822076,18.278172325021,95.1090616207875,
AUT,2007,3.77522468729185,2.16855528800757,4.909,3.81348828635748,0.910963841395556,0.729672399984083,17.8058113461032,52.8904832388178,48.4744751966427,28.3529254330842,24.7335259294195,18.5487211186086,93.5025894904191,
AUT,2008,1.45330562142114,3.2159503323988,4.198,4.49615698142083,0.773581370802696,0.679922680042729,1.46799597032563,53.5983913417575,49.1453130195427,28.8079332137102,24.7047623915806,17.8916492533569,96.4418920331131,
AUT,2009,-3.58626472551299,0.506308827696504,5.371,2.58051083948133,1.02865105410154,0.716957702016136,3.58137196898673,45.4869106822459,42.1135824199495,25.1006778097902,23.0148012049122,16.8205431880351,98.3438510262014,
AUT,2010,1.80898243043663,1.81353438995062,4.883,2.94294851772084,1.20129993780002,0.754308990105961,-5.64539670207833,51.5839821122491,48.0609004424225,25.9019377063544,22.8592812354211,17.0146236665127,99.1468795000545,
AUT,2011,2.92746800169145,3.2865791487538,4.637,1.58501011759763,1.10999349158399,0.718413898653317,5.35812778038962,54.2920768831722,51.4830214892056,26.2928147431321,24.3521600435893,17.1446473129533,96.672569255418,
AUT,2012,0.628246239479637,2.48567562177015,4.909,1.51000017550336,1.30138137098723,0.778338120416812,1.2830027920872,54.325492441456,51.5152989482497,25.9001846964115,24.2558827220405,17.2564830895639,94.8379795773965,
AUT,2013,-0.250726423318454,2.00015616900597,5.367,1.75299233450364,1.14393112619935,0.752945122701996,-0.302633479129545,53.8898209853854,51.0955530299819,25.5917612890381,23.9413047862951,17.1063898788247,93.3411391388064,
AUT,2014,0.755798850316665,1.60581182954474,5.674,2.31393875506261,1.19166753701729,0.752728196932603,0.389557041234778,53.8561570961341,50.6405828931259,26.2094723176004,23.848669034824,17.1867790689422,88.3599171258328,
AUT,2015,1.30352331826198,0.89656333526032,5.802,1.58832680063968,1.2707499301248,0.901296423367096,-1.80409511056007,53.3960122723239,49.7215694739361,25.6755417948535,24.012126686949,17.242928730216,86.4399964991008,
AUT,2016,2.11721964494312,0.891591752655362,6.064,2.571487769682,1.24674622591386,0.903421436257263,-7.23989904197038,52.6634020833052,48.910092513867,27.1433439783754,24.4571707244108,17.6682251530651,83.5897539711459,
AUT,2017,2.27224992038207,2.08126911385587,5.561,1.24444591726667,1.0589445360781,0.885205508269372,3.38180275607348,54.3260296753968,51.2300370800408,26.3960360513964,24.9780618382281,17.4427051605451,84.7370865911526,
AUT,2018,2.48422114080024,1.99837981429549,4.933,0.908176708238318,1.01838757837563,0.846772667108111,-6.15119207172195,55.7022394735073,52.6757304983207,26.8813622258114,25.8982762235252,17.3211161045372,84.8629638770058,
AUT,2019,1.75497619649288,1.53089564152644,4.56,2.38423045289808,1.06619940901405,0.893276257067409,-2.85255617561831,55.8958073929339,52.3114775114917,28.1223106975115,25.5090080970816,17.1022858668807,86.3027943646251,
AUT,2020,-6.31825509209936,1.38191063351854,5.201,3.3513779974929,1.54690820888035,0.875506396987998,-2.76332070661681,51.6630899700616,48.2851241395359,29.2121199273019,25.6530737541266,16.5973264696294,93.0516337886918,
AUT,2021,4.92309171717903,2.7666666666667,6.459,1.71590187553909,1.34277745733303,0.84549413889045,3.95409878611296,55.9539450675875,55.0789870565772,29.471826371692,27.6569430631097,16.9794494072387,93.0624546800894,
AUT,2022,5.33096379400371,8.54686993188458,4.992,-0.826550284589038,1.18671535076925,0.949623753156941,3.0221599256451,61.4273121186873,62.1522665342146,28.0222537943887,29.2367940014427,16.6515788411782,89.1835529946886,
