economy,year,anomaly_score,predicted_anomaly
ESP,2009,0.0,0
ESP,2010,0.0,0
ESP,2011,0.0,0
ESP,2012,0.0,0
ESP,2013,0.0,0
ESP,2014,0.0,0
ESP,2015,0.0,0
ESP,2016,0.0,0
ESP,2017,0.0,0
ESP,2018,0.0,0
ESP,2019,0.0,0
ESP,2020,0.0,0
ESP,2021,0.0,0
ESP,2022,0.0,0
ESP,2023,0.0,0
ESP,2024,0.0,0
FRA,1990,0.0,0
FRA,1991,0.0,0
FRA,1992,0.0,0
FRA,1993,0.0,0
FRA,1994,0.0,0
FRA,1995,0.0,0
FRA,1996,0.0,0
FRA,1997,0.0,0
FRA,1998,0.0,0
FRA,1999,0.0,0
FRA,2000,0.0,0
FRA,2001,0.0,0
FRA,2002,0.0,0
FRA,2003,0.0,0
FRA,2004,0.0,0
FRA,2005,0.0,0
FRA,2006,0.0,0
FRA,2007,0.0,0
FRA,2008,0.0,0
FRA,2009,0.0,0
FRA,2010,0.0,0
FRA,2011,0.0,0
FRA,2012,0.0,0
FRA,2013,0.0,0
FRA,2014,0.0,0
FRA,2015,0.0,0
FRA,2016,0.0,0
FRA,2017,0.0,0
FRA,2018,0.0,0
FRA,2019,0.0,0
FRA,2020,0.0,0
FRA,2021,0.0,0
FRA,2022,0.0,0
FRA,2023,0.0,0
FRA,2024,0.0,0
GBR,1990,0.0,0
GBR,1991,0.0,0
GBR,1992,0.0,0
GBR,1993,0.0,0
GBR,1994,0.0,0
GBR,1995,0.0,0
GBR,1996,0.0,0
GBR,1997,0.0,0
GBR,1998,0.0,0
GBR,1999,0.0,0
GBR,2000,0.0,0
GBR,2001,0.0,0
GBR,2002,0.0,0
GBR,2003,0.0,0
GBR,2004,0.0,0
GBR,2005,0.0,0
GBR,2006,0.0,0
GBR,2007,0.0,0
GBR,2008,0.0,0
GBR,2009,0.0,0
GBR,2010,0.0,0
GBR,2011,0.0,0
GBR,2012,0.0,0
GBR,2013,0.0,0
