economy,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CZE,2017,1.912762857352407,0.22412245964395733,0.0967266648933186,-0.5386577433948551,-0.8084210426422216,0.1927076743362744,-0.4111691954240165,-0.07346068191021321,-0.7560440145181231
CZE,2018,1.6532813460761457,0.15461995815883303,-0.017022040732745155,-0.3426073415720655,-0.527169320394772,-0.2104905440178438,-0.7071145955007627,-0.0015788017775509762,-1.0709271565243477
CZE,2019,1.646071863345386,0.25842816439226496,0.18702102190834632,-0.42036939392878353,-0.5918665645254306,-0.09967585681503073,-0.5701997019959975,0.19101075027017003,-0.9436934749937443
CZE,2020,1.0279495524595523,0.21906488637924862,-0.2832604842964412,1.2309086918527707,-0.3658769987156405,-0.0969342535136937,-1.022498101425396,0.5832737018110179,-2.4930662171358047
CZE,2021,1.6543044988124846,0.1505954153128296,0.37961873414515973,-0.5232082311056828,-0.42254683785037234,-0.15502867479035787,-0.2081502101511174,0.08309679758431072,-0.9038571011030028
CZE,2022,1.5379525361031234,0.23269032423797098,0.28192354903072864,-0.9078824139583622,0.0546357692706862,-0.5441413376243627,-0.6344318918717904,0.2000000283353364,-1.0566955840821195
CZE,2023,1.460454464236543,0.1824476553561139,0.019785488426802667,-0.07393587832632804,-0.1692252729662275,-0.4278606503182848,-0.7474317129527445,0.18267274202009393,-1.4370589977994745
CZE,2024,1.4935636265812728,0.17688325832419977,-0.11879558372996944,-0.01766870091029904,-0.46189554325005844,-0.36080206995653247,-0.6626222395539797,0.2415416634677684,-1.0242083563419124
DEU,1990,-0.13293067002169698,-0.04650801356327941,0.6600770285452973,-0.20331243443262462,0.25179830021049615,0.03334420844631437,-0.20072264917279226,-0.43355027082457837,0.5611398072244882
DEU,1991,0.5178550561841605,0.17042812725658493,0.8200027842645569,-0.2628511266598616,0.34981260034083633,-0.04645381950032062,-0.6044887711363551,-0.39887188292679865,0.4390154484782706
DEU,1992,0.16362762499965436,0.04628587270477005,0.5174387237242242,0.24400215935350833,0.47101575100184273,-0.07970024768259054,-0.7050429165727414,-0.3926135544121588,-0.04210902485898955
DEU,1993,-0.3213803531577808,0.0034702334312353075,0.1130412517372163,0.7864147128634575,0.5215622998187066,0.01278444370265419,-0.8332881906017956,-0.18825449515836917,-0.34428833700554945
DEU,1994,-0.17027960251800373,-0.07081901504121596,0.29804454054491997,0.33400472643622714,0.32915792465651594,0.1926887877632024,-0.4543333149634905,-0.5061629371299284,0.29748791063896757
DEU,1995,-0.17623854569958333,-0.13567675894204823,0.21182885035404014,0.4731715547069751,0.3648953348748472,0.03121808520883561,-0.4578021032251512,-0.47001386915240173,0.040539244391125176
DEU,1996,-0.31701858840614255,-0.07680526239053452,0.03774273445173094,0.5971590777570752,0.32804120368178874,0.15801420998380286,-0.5935960003250438,-0.3684882942959602,0.1137069080625327
DEU,1997,-0.26738195307927465,-0.031523163277310653,-0.03345138427431009,0.4728941703596655,0.297314453426627,0.39456214581097687,-0.6069627391549515,-0.42372235408176884,0.32070240105172304
DEU,1998,-0.15377199417677015,-0.10503906932960574,0.0014985390114244147,0.38479038081583306,0.323218705959303,0.3636810752222852,-0.48100747979496083,-0.5260499800931963,0.24469874015616194
DEU,1999,-0.6303749190499693,-0.49345260878566083,-0.016286987212436183,-0.40021096644072834,0.6620883247836202,0.07809148440859694,0.01329879045844918,-0.5878793688704745,-0.42541545088598953
DEU,2000,-0.27271462338256275,-0.1249718036068457,-0.4318096364843724,-0.9465943103749783,0.6711502873834528,0.5824977418922066,0.31233135222813824,0.5303338581770835,-0.3243020615264143
DEU,2001,-0.4758175105322184,-0.1987424368784999,-0.24404268193619255,-0.021182729534761253,1.0232661705453638,0.06452479170919648,-0.34972275692095556,-0.11302352533498024,-0.022629304465464937
DEU,2002,-0.7043302209408226,-0.31047675996944224,-0.6265807099166787,0.5205520448798572,0.8251922384690344,0.08520637263724044,-0.4529421685216059,-0.1914861963349712,-0.2122857742304338
DEU,2003,-0.8857246815606786,-0.42913719533850714,-0.7810430472212315,0.4832615241099216,0.846571678396116,0.2326654637616713,-0.4384200174534868,-0.39227778861946233,-0.31723991606180213
