economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation,crisis_label
DEU,1994,-0.17238869304908933,-0.1382881623754806,0.6745989588866466,0.23473557820542096,-0.41663869872393733,-0.5824448639306791,-0.35694756092100716,-0.43303784297126935,0.01861966739259458,0.22871258059878205,0.5829357271298787,0.5190938281504012,-0.8370583445876922,-0.3186099297080319,0
DEU,1995,-0.45587360122266296,-0.31086259825133983,0.5537023265696379,0.1578704424655014,-0.4464492174556936,-0.5326169859247641,-0.32043293282977037,-0.40252040528756744,-0.005971311379286945,0.21723348301882603,0.5448633506527129,0.5190938281504012,0.04382563113228581,-1.3484993752554513,0
DEU,1996,-0.5771535787017509,-0.3557040495139381,0.6947838096249869,0.08100530672558176,-0.47625973618745,-0.6034939836249912,-0.28705275136994307,-0.3786291573910863,-0.03056229015116847,0.06006017453842004,0.4800897976565078,0.5190938281504012,-0.9047554319397864,0.3977774506219844,0
DEU,1997,-0.36517589143780194,-0.27008225397725494,0.9155423350685228,0.004140170985662138,-0.5060702549192062,-0.5016139860280013,-0.18619058576888314,-0.279682553207904,-0.055153268923049996,0.05149862535662568,0.501715555031402,0.5190938281504012,-0.4500490945221974,1.4692168935278118,0
DEU,1998,-0.30252872348316256,-0.44987672889693303,0.8998193987039207,-0.07272496475425748,-0.5358807736509626,-0.31087830568948666,-0.1462180870352733,-0.24042216804118358,-0.07974424769493152,0.15288058039377633,0.5274629919540869,0.5190938281504012,-0.4436780552994755,0.02919175445035903,0
DEU,1999,-0.2937120968178767,-0.5068393761806498,0.7015829172421121,-0.14959010049417706,-0.5656912923827189,0.6712129321690227,-0.13080398019623896,-0.19261788190173226,-0.10433522646681304,0.10612233040738059,0.48149387760027923,0.5190938281504012,-0.032160010766359146,-5.010426270235446,0
DEU,2000,-0.09977740551190559,-0.3573580416071344,0.5024965473281634,-0.20770427625769736,-0.6051048298480518,3.7392162647920792,0.021403600364674518,0.0009753841319424188,-0.11753277967904197,0.13790991787296822,0.5538257570854551,0.5190938281504012,-0.3739178714209105,1.4854600180408062,0
DEU,2001,-0.421823102737253,-0.2623028851691139,0.47190056305109973,0.018140484955681786,-0.6169399118552512,0.3229549838955586,0.05808232770972924,-0.023842782450319355,-0.10467658730066398,-0.04751481079307848,0.5273730794201638,0.5190938281504012,-0.38365976876193486,0.20159867654830274,0
DEU,2002,-0.9058848270230422,-0.3607613218952219,0.6225432911930311,0.3884318753698108,-0.5949173075235888,0.16203512649907315,0.08434981172994889,-0.11313532733113373,-0.14535562973899688,-0.4514530884510789,0.44574174994816373,0.5053682137755149,-0.31921797375058236,-0.6781471657161059,0
DEU,2003,-0.9841764612567281,-0.428361668230454,0.8981196217996392,0.3103031852467566,-0.6387844083471561,0.21184779129353273,0.0875765351574743,-0.088869727102116,-0.237812360969961,-0.5403667760055181,0.4559975882811768,0.4841644945899466,-0.12095094140255432,-1.8423999197078815,0
DEU,2004,-0.5449040569546544,-0.31793127985343,1.099543184956975,0.8254658543999898,-0.6838752208815744,-0.9473982247597331,0.19878397161380923,-0.025169923515398884,-0.016274843888911067,-0.6262060935514503,0.48766528931004666,0.43969252540732057,-0.07493050173543365,-1.073911716444938,0
DEU,2005,-0.6167193377650168,-0.3387098613790102,1.1985551896313613,0.8481107979842124,-0.6969086276214752,0.031672808732049765,0.2829154661430711,0.07239024408980796,-0.02922449534442938,-0.6703997384574201,0.48495369764196666,0.4234530634338051,-0.43968901802529436,-0.12696078809784117,0
