economy,year,anomaly_score,predicted_anomaly
EGY,2004,1.171826792477778,0
EGY,2005,1.0937360572179315,0
EGY,2006,1.2608593123685052,0
EGY,2007,1.2403597098131054,0
EGY,2008,1.2933113753750196,0
EGY,2009,1.014361577277236,0
EGY,2010,0.9996332369362273,0
EGY,2011,1.2867615012518274,0
EGY,2012,1.2208694555135664,0
EGY,2013,1.1372954731308744,0
EGY,2014,1.1550315988017836,0
EGY,2015,1.1367571069822473,0
EGY,2016,1.3284364984280255,0
EGY,2017,1.4448109842166272,0
EGY,2018,1.032429790440076,0
EGY,2019,1.0103872706245516,0
EGY,2020,1.020673078372112,0
EGY,2021,1.1831249440444362,0
EGY,2022,1.2278032316229364,0
EGY,2023,1.336493842205107,0
EGY,2024,1.4998175367018312,0
ESP,1990,1.219588545738106,0
ESP,1991,1.1837909925438448,0
ESP,1992,1.202398051905625,0
ESP,1993,1.2827575253111627,0
ESP,1994,1.0282094435809614,0
ESP,1995,1.134280912610853,0
ESP,1996,1.0972498100733241,0
ESP,1997,1.0985873657170429,0
ESP,1998,1.1864470221941685,0
ESP,1999,3.96597116087178,1
ESP,2000,1.301208552058796,0
ESP,2001,1.3229786449580547,0
ESP,2002,1.146387657022016,0
ESP,2003,1.4189596873928394,0
ESP,2004,1.1112879361087196,0
ESP,2005,1.1376456144836875,0
ESP,2006,1.1538035169702756,0
ESP,2007,1.1581092916590137,0
ESP,2008,1.2107723920652098,0
ESP,2009,1.456448190963794,0
ESP,2010,1.1802934881778924,0
ESP,2011,1.1561680830305592,0
ESP,2012,1.0553791860772956,0
ESP,2013,1.065224940173811,0
ESP,2014,1.0593232441158655,0
ESP,2015,1.41881509875904,0
ESP,2016,1.2437723348254766,0
ESP,2017,1.2126309664133605,0
ESP,2018,1.2476267968810562,0
ESP,2019,1.1585019993438137,0
ESP,2020,1.570077434200131,1
ESP,2021,1.1817338403575717,0
ESP,2022,1.2865014871073612,0
ESP,2023,1.203891570379259,0
ESP,2024,1.167267831617266,0
FRA,1990,1.0285201246687148,0
FRA,1991,0.9984181848730789,0
FRA,1992,1.0033570498459763,0
FRA,1993,1.0279880031527544,0
FRA,1994,0.9910098455960252,0
FRA,1995,1.0288352351674481,0
FRA,1996,0.9936961890026946,0
FRA,1997,1.3823368279549286,0
FRA,1998,0.9954768500249119,0
FRA,1999,3.475680418711815,1
FRA,2000,1.2713993819661513,0
FRA,2001,1.003374007923629,0
