economy,year,lof_score,predicted_anomaly,crisis_label
FRA,1996,0.9825928268817832,0,1
FRA,1997,1.0104359459314698,0,1
FRA,1998,1.0109232374333785,0,1
FRA,1999,1.0565620687102413,0,1
FRA,2000,1.05869853861204,0,0
FRA,2001,1.0052172769194077,0,0
FRA,2002,0.9850536135426768,0,0
FRA,2003,0.9784579071394536,0,0
FRA,2004,0.9960748270735291,0,0
FRA,2005,0.9901109703471829,0,0
FRA,2006,0.9695246427523638,0,0
FRA,2007,0.9735768483942172,0,0
FRA,2008,1.0445297847018342,0,0
FRA,2009,1.119540229428805,0,1
FRA,2010,0.9827872053754858,0,0
FRA,2011,0.962078479956188,0,0
FRA,2012,1.0612870154412057,0,0
FRA,2013,1.009631314894778,0,0
FRA,2014,1.0035704567311023,0,0
FRA,2015,0.9864308875217317,0,0
FRA,2016,0.9942926420053461,0,0
FRA,2017,0.9992431812418351,0,0
FRA,2018,1.0167397573978545,0,0
FRA,2019,0.9859421942027412,0,0
FRA,2020,1.044619212617632,0,1
FRA,2021,1.174189385514051,0,0
FRA,2022,1.1163158565705489,0,1
FRA,2023,1.016477866945871,0,1
FRA,2024,1.037725350790375,0,0
GBR,1990,1.0535840014702094,0,1
GBR,1991,1.042835056163772,0,1
GBR,1992,1.0331514247542244,0,1
GBR,1993,1.0070793884167497,0,1
GBR,1994,0.9853081805620102,0,1
GBR,1995,0.9698310369798084,0,0
GBR,1996,1.0107908978166409,0,0
GBR,1997,1.0179906819579967,0,0
GBR,1998,1.0572485983721176,0,0
GBR,1999,1.0202302102850884,0,0
GBR,2000,1.2076553695778163,1,0
GBR,2001,0.9955240455604848,0,0
GBR,2002,0.9949190067287075,0,0
GBR,2003,1.0112895561085804,0,0
GBR,2004,0.977299865000646,0,0
GBR,2005,1.0546218700088315,0,0
GBR,2006,1.020907384076125,0,0
GBR,2007,0.9632313876043324,0,0
GBR,2008,1.227767487497617,1,0
GBR,2009,1.1213980364361595,0,1
GBR,2010,1.048941877119915,0,0
GBR,2011,1.1046653941578912,0,0
GBR,2012,1.1040683612155915,0,0
GBR,2013,1.1278476122279748,0,0
